Substance Number;Common Name;Chemical Name;CAS Number;DOT Number;SHHS List;synonym;Source 1;CA;CO;MU;TE;F4;F3;F2;R4;R3;R2;R1;Source 2;Source 3;Source 4;Source 5;Source 6;Source 7;Source 8;Source 14;Source 15;Source 17;Source 18;Source 19;Source 20;Source 21;Source 22;non prefix
0024;ACRYLONITRILE;2-PROPENENITRILE;            107-13-1;1093;#;;1;CA;;;TE;;F3;;;;R2;;2;3;4;5;6;7;8;14;15;17;18;19;20;21;22;ACRYLONITRILE
0026;ADIPIC ACID;HEXANEDIOIC ACID;            124-04-9;;;;;;;;;;;;;;;;2;;;;;;;;15;;;;20;;;ADIPICACID
0027;ADIPONITRILE;HEXANEDINITRILE;            111-69-3;2205;;;;;;;;;;F2;;;;R1;2;3;4;;6;;8;;15;17;;19;;;;ADIPONITRILE
0029;AFLATOXINS;AFLATOXINS;           1402-68-2;;#;;;CA;;MU;TE;;;;;;;;;;;5;;7;;;;;;;;;;AFLATOXINS
0031;ALDICARB;PROPANAL, 2-METHYL-2-(METHYLTHIO)-, O-[(METHYLAMINO)CARBONYL]OXIME;            116-06-3;2757;;;;;;;;;;;;;;;;3;;;6;7;8;14;;17;18;19;20;21;;ALDICARB
0032;ALDOL;BUTANAL, 3-HYDROXY-;            107-89-1;2839;;;;;;;;;;F2;;;;R1;;3;;;;;;;15;17;;;;;;ALDOL
0033;ALDRIN;1,4:5,8-DIMETHANONAPHTHALENE, 1,2,3,4,10,10-HEXACHLORO-1,4,4a,5,8,8aHEXAHYDRO(1R,4S,4aS,5S,8R,8aR)-rel-;            309-00-2;2761;#;;1;CA;;;TE;;;;;;;;2;3;4;;6;7;8;14;;17;18;19;20;21;;ALDRIN
0034;ALKANE SULFONIC ACID;METHANESULFONIC ACID;             75-75-2;2585;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;ALKANESULFONICACID
0035;ALLYL ACETATE;ACETIC ACID, 2-PROPENYL ESTER;            591-87-7;2333;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;ALLYLACETATE
0036;ALLYL ALCOHOL;2-PROPEN-1-OL;            107-18-6;1098;#;;1;;;;;;F3;;;;;R1;2;3;4;;6;;8;;15;17;18;19;20;21;22;ALLYLALCOHOL
0037;ALLYL AMINE;2-PROPEN-1-AMINE;            107-11-9;2334;#;;;;;;;;F3;;;;;R1;;3;;;6;;;;15;17;18;19;;;22;ALLYLAMINE
0038;ALLYL BROMIDE;1-PROPENE, 3-BROMO-;            106-95-6;1099;#;;;;;;;;F3;;;;;R1;;3;;;;;;;15;17;;;;;;ALLYLBROMIDE
0039;ALLYL CHLORIDE;1-PROPENE, 3-CHLORO-;            107-05-1;1100;#;;1;CA;;;;;F3;;;;;R1;2;3;4;;6;7;8;;15;17;18;;20;;;ALLYLCHLORIDE
0040;ALLYL CHLOROCARBONATE;CARBONOCHLORIDIC ACID, 2-PROPENYL ESTER;           2937-50-0;1722;#;;;;CO;;;;F3;;;;;R1;;3;;;;;;;15;17;;;;;;ALLYLCHLOROCARBONATE
0041;ALLYL ETHYL ETHER;1-PROPENE, 3-ETHOXY-;            557-31-3;2335;#;;;;;;;;F3;;;;;R1;;3;;;;;;;15;17;;;;;;ALLYLETHYLETHER
0042;ALLYL FORMATE;FORMIC ACID, 2-PROPENYL ESTER;           1838-59-1;2336;#;;;;;;;;F3;;;;;;;3;;;;;;;;17;;;;;;ALLYLFORMATE
0043;ALLYL GLYCIDYL ETHER;OXIRANE, [(2-PROPENYLOXY)METHYL] -;            106-92-3;2219;;;1;;;;;;;F2;;;;R1;2;3;4;;;;;;;17;;;;;;ALLYLGLYCIDYLETHER
0044;ALLYL IODIDE;1-PROPENE, 3-IODO-;            556-56-9;1723;#;;;;CO;;;;F3;;;;;;;3;;;;;;;;17;;;;;;ALLYLIODIDE
0045;ALLYL ISOTHIOCYANATE;1-PROPENE, 3-ISOTHIOCYANATO-;             57-06-7;1545;;;;;;;;;;F2;;;;R1;;3;;;;7;;;15;17;;;;;;ALLYLISOTHIOCYANATE
0046;ALLYL PROPYL DISULFIDE;DISULFIDE, 2-PROPENYL PROPYL;           2179-59-1;;;;1;;;;;;;;;;;;2;;4;;;;;;;;;;;;;ALLYLPROPYLDISULFIDE
0047;ALLYL TRICHLOROSILANE;SILANE, TRICHLORO-2-PROPENYL-;            107-37-9;1724;#;;;;CO;;;;F3;;;;R2;;;3;;;;;;;15;17;;;;;;ALLYLTRICHLOROSILANE
0048;alpha-CHLOROACETOPHENONE;ETHANONE, 2-CHLORO-1-PHENYL-;            532-27-4;1697;;;1;;;;;;;;;;;;2;3;4;;6;;8;;15;17;18;;20;;;CHLOROACETOPHENONE3
0049;alpha-METHYLBENZYL ALCOHOL;BENZENEMETHANOL, .alpha.-METHYL-;             98-85-1;2937;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;METHYLBENZYLALCOHOL
0051;alpha-NAPHTHYL THIOUREA;THIOUREA, 1-NAPHTHALENYL-;             86-88-4;1651;;;1;;;;;;;;;;;;2;3;4;;6;7;;14;;17;;19;20;21;;NAPHTHYLTHIOUREA
0052;alpha-PINENE;BICYCLO[ 3.1.1]HEPT-2-ENE, 2,6,6-TRIMETHYL-;             80-56-8;2368;#;;;;;;;;F3;;;;;;2;3;;;;;;;15;17;;;;;;PINENE
0054;ALUMINUM;ALUMINUM;           7429-90-5;1396;#;;1;;;;;;F3;;;;;R1;2;3;4;;6;;;;15;17;18;;;;;ALUMINUM
0055;ALUMINUM BROMIDE;ALUMINUM BROMIDE;           7727-15-3;1725;#;;1;;CO;;;;;;;;R2;;2;3;4;;;;;;;17;;;;;;ALUMINUMBROMIDE
0056;ALUMINUM CARBIDE;ALUMINUM CARBIDE;           1299-86-1;1394;#;;1;;;;;;F3;;;R3;;;2;3;4;;;;;;;17;;;;;;ALUMINUMCARBIDE
0057;ALUMINUM CHLORIDE;ALUMINUM CHLORIDE;           7446-70-0;1726;#;;1;;CO;;;;;;;;R2;;2;3;;;;;;;15;17;;;;;;ALUMINUMCHLORIDE
0058;ALUMINUM FERROSILICON;ALUMINUM IRON SILICIDE (AlFeSi);          12003-41-7;1395;;;1;;;;;;;;;;;;2;3;4;;;;;;;17;;;;;;ALUMINUMFERROSILICON
0059;ALUMINUM FLUORIDE;ALUMINUM FLUORIDE (AlF3);           7784-18-1;1759;;;1;;CO;;;;;;;;;;2;3;4;;;;;;;17;;;;;;ALUMINUMFLUORIDE
0060;ALUMINUM HYDRIDE;ALUMINUM HYDRIDE (AlH3);           7784-21-6;2463;#;;1;;;;;;F3;;;;R2;;2;3;4;;;;;;;17;;;;;;ALUMINUMHYDRIDE
0061;ALUMINUM NITRATE;NITRIC ACID, ALUMINUM SALT;          13473-90-0;1438;;;1;;;;;;;;;;;;2;3;4;;;;;;;17;;;;;;ALUMINUMNITRATE
0062;ALUMINUM PHOSPHATE;PHOSPHORIC ACID, ALUMINUM SALT (1:1);           7784-30-7;1760;#;;1;;CO;;;;;;;;;;2;3;4;;;;;;;17;;;;;;ALUMINUMPHOSPHATE
0063;ALUMINUM PHOSPHIDE;ALUMINUM PHOSPHIDE (AlP);          20859-73-8;1397;#;;;;;;;F4;;;;;R2;;2;3;4;;6;;8;14;15;17;18;19;20;21;;ALUMINUMPHOSPHIDE
0064;ALUMINUM RESINATE;RESIN ACIDS AND ROSIN ACIDS, ALUMINUM SALTS;          61789-65-9;2715;#;;1;;;;;;F3;;;;;;2;3;4;;;;;;;17;;;;;;ALUMINUMRESINATE
0066;ALUMINUM SILICON;ALUMINUM SILICIDE (AlSi);          12042-55-6;1398;;;1;;;;;;;;;;;;2;3;4;;;;;;;17;;;;;;ALUMINUMSILICON
0068;ALUMINUM SULFATE;SULFURIC ACID, ALUMINUM SALT (3:2);          10043-01-3;3077;#;;1;;CO;;;;;;;;;;2;3;4;;;;;;;17;;;20;;;ALUMINUMSULFATE
0069;2-AMINOANTHRAQUINONE;9,10-ANTHRACENEDIONE, 2-AMINO-;            117-79-3;;#;;;CA;;MU;;;;;;;;;;;;5;6;7;;;;;18;;;;;AMINOANTHRAQUINONE
0070;2-AMINO-4-CHLOROPHENOL;PHENOL, 2-AMINO-4-CHLORO-;             95-85-2;2673;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;AMINOCHLOROPHENOL
0071;2-AMINO-5-DIETHYL AMINOPENTANE;1,4-PENTANEDIAMINE, N1,N1-DIETHYL-;            140-80-7;2946;;;;;;;;;;F2;;;;;;3;;;;;;;;17;;;;;;AMINODIETHYLAMINOPENTANE
0072;4-AMINODIPHENYL;[1,1'-BIPHENYL]-4-AMINE;             92-67-1;;#;;1;CA;;MU;;;;;;;;;2;;4;5;6;7;;;;;18;;20;;;AMINODIPHENYL
0073;2-(2-AMINOETHOXY)ETHANOL;ETHANOL, 2-(2-AMINOETHOXY)-;            929-06-6;3055;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;AMINOETHOXYETHANOL
0074;AMINOETHYLETHANOLAMINE;ETHANOL, 2-[(2-AMINOETHYL)AMINO] -;            111-41-1;2735;#;;;;CO;;;;;;;;;;;3;;;;;;;15;17;;;;;;AMINOETHYLETHANOLAMINE
0075;N-AMINOETHYLPIPERAZINE;1-PIPERAZINEETHANAMINE;            140-31-8;2815;#;;;;CO;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;AMINOETHYLPIPERAZINE2
0076;1-AMINO-2-METHYLANTHRAQUINONE;9,10-ANTHRACENEDIONE, 1-AMINO-2-METHYL-;             82-28-0;;#;;;CA;;;;;;;;;;;;;;5;6;7;;;;;18;;;;;AMINOMETHYLANTHRAQUINONE
0078;AMINOPHENOLS (mixed isomers);PHENOL, AMINO-;          27598-85-2;2512;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;AMINOPHENOLS
0079;AMINOPROPYL DIETHANOLAMINE;ETHANOL, 2,2'- [(3-AMINOPROPYL)IMINO]BIS-;           4985-85-7;1760;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;AMINOPROPYLDIETHANOLAMINE
0080;AMINOPROPYLMORPHOLINE;4-MORPHOLINEPROPANAMINE;            123-00-2;2735;#;;;;CO;;;;;;;;;;;3;;;;;;;15;17;;;;;;AMINOPROPYLMORPHOLINE1
0081;2-AMINOPYRIDINE;2-PYRIDINAMINE;            504-29-0;2671;;;1;;;;;;;F2;;;;;2;3;4;;;;;;;17;;;;;;AMINOPYRIDINE1
0083;AMITROLE;1H-1,2,4-TRIAZOL-3-AMINE;             61-82-5;2588;#;;;CA;;;;;;;;;;;2;3;4;5;6;7;8;14;;17;18;;20;21;;AMITROLE
0084;AMMONIA;AMMONIA;           7664-41-7;1005;#;;1;;CO;;;;;;;;;;2;3;4;;6;;8;;15;17;18;19;20;;22;AMMONIA
0085;AMMONIUM ACETATE;ACETIC ACID, AMMONIUM SALT;            631-61-8;3077;;;;;;;;;;;;;;;;3;;;;;8;;;17;;;20;;;AMMONIUMACETATE
0086;AMMONIUM ARSENATE;ARSENIC ACID (H3AsO4), DIAMMONIUM SALT;           7784-44-3;1546;#;;1;CA;;;;;;;;;;;2;3;4;5;6;;8;;;17;18;;20;;;AMMONIUMARSENATE
0087;AMMONIUM BENZOATE;BENZOIC ACID, AMMONIUM SALT;           1863-63-4;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMBENZOATE
0088;AMMONIUM BICARBONATE;CARBONIC ACID, MONOAMMONIUM SALT;           1066-33-7;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMBICARBONATE
0089;AMMONIUM BIFLUORIDE;AMMONIUM FLUORIDE ((NH4)(HF2));           1341-49-7;1727;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMBIFLUORIDE
0090;AMMONIUM BISULFITE;SULFUROUS ACID, MONOAMMONIUM SALT;          10192-30-0;2693;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMBISULFITE
0091;AMMONIUM CARBAMATE;CARBAMIC ACID, MONOAMMONIUM SALT;           1111-78-0;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMCARBAMATE
0092;AMMONIUM CARBONATE;CARBONIC ACID, DIAMMONIUM SALT;            506-87-6;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMCARBONATE
0093;AMMONIUM CHLORIDE;AMMONIUM CHLORIDE ((NH4)Cl);          12125-02-9;3077;;;;;;;;;;;;;;;2;3;4;;;;;;;17;;;20;;;AMMONIUMCHLORIDE
0094;AMMONIUM CHLOROPLATINATE;PLATINATE (2-), HEXACHLORO-, DIAMMONIUM,;          16919-58-7;;;;1;;;;;;;;;;;;2;;4;;;;;;;;;;;;;AMMONIUMCHLOROPLATINATE
0095;AMMONIUM CHROMATE;CHROMIC ACID (H2CrO4), DIAMMONIUM SALT;           7788-98-9;3077;#;;1;CA;;;;;;;;;;;2;3;4;5;6;7;8;;;17;18;;20;;;AMMONIUMCHROMATE
0096;AMMONIUM CITRATE;1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, DIAMMONIUM SALT;           3012-65-5;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMCITRATE
0097;AMMONIUM DICHROMATE;CHROMIC ACID (H2Cr2O7), DIAMMONIUM SALT;           7789-09-5;1439;#;;1;CA;;MU;;;;;;;;R1;2;3;4;5;6;7;8;;15;17;18;;20;;;AMMONIUMDICHROMATE
0098;AMMONIUM DINITRO-o-CRESOLATE;PHENOL, 2-METHYL-4,6-DINITRO-, AMMONIUM SALT;           2980-64-5;1843;;;;;;;;;;;;;;;;3;;;;;;;;17;;;;;;AMMONIUMDINITROCRESOLATE
0099;AMMONIUM FLUORIDE;AMMONIUM FLUORIDE ((NH4)F);          12125-01-8;2505;;;1;;;;;;;;;;;;2;3;4;;;;;;15;17;;;20;;;AMMONIUMFLUORIDE
0100;AMMONIUM FLUOROBORATE;BORATE(1-), TETRAFLUORO-, AMMONIUM;          13826-83-0;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMFLUOROBORATE
0101;AMMONIUM FLUOSILICATE;SILICATE(2-), HEXAFLUORO-, DIAMMONIUM;          16919-19-0;2854;;;1;;;;;;;;;;;;2;3;4;;;;;;;17;;;20;;;AMMONIUMFLUOSILICATE
0102;AMMONIUM HYDROGEN SULFATE;SULFURIC ACID, MONOAMMONIUM SALT;           7803-63-6;2506;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;AMMONIUMHYDROGENSULFATE
0103;AMMONIUM HYDROXIDE;AMMONIUM HYDROXIDE ((NH4)(OH));           1336-21-6;2672;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMHYDROXIDE
0104;AMMONIUM METAVANADATE;VANADATE (VO31-), AMMONIUM;           7803-55-6;2859;;;;;;;;;;;;;;;;3;4;;;;;;;17;;;20;21;;AMMONIUMMETAVANADATE
0105;AMMONIUM MOLYBDATE;MOLYBDATE (MoO42-), DIAMMONIUM, (T-4)-;          13106-76-8;;;;1;;;;;;;;;;;;2;;4;;;;;;;;;;;;;AMMONIUMMOLYBDATE
0106;AMMONIUM NITRATE;NITRIC ACID, AMMONIUM SALT;           6484-52-2;1942;#;;;;;;;;;;;R3;;;;3;;;;;;;15;17;;;;;;AMMONIUMNITRATE
0108;AMMONIUM OXALATE;ETHANEDIOIC ACID, DIAMMONIUM SALT;           1113-38-8;2811;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMOXALATE
0109;AMMONIUM PERCHLORATE;PERCHLORIC ACID, AMMONIUM SALT;           7790-98-9;1442;#;;;;;;;;;;R4;;;;;3;;;;;;;15;17;;;;;;AMMONIUMPERCHLORATE
0110;AMMONIUM PERMANGANATE;PERMANGANIC ACID (HMnO4), AMMONIUM SALT;          13446-10-1;1482;#;;;;;;;;;;;R3;;;;3;;;;;;;15;17;;;;;;AMMONIUMPERMANGANATE
0111;AMMONIUM PERSULFATE;PEROXYDISULFURIC ACID ([(HO)S(O)2]2O2), DIAMMONIUM SALT;           7727-54-0;1444;;;;;;;;;;;;;;R1;2;3;;;;;;;;17;;;;;;AMMONIUMPERSULFATE
0112;AMMONIUM PICRATE;PHENOL, 2,4,6-TRINITRO-, AMMONIUM SALT;            131-74-8;1310;#;;;;;;;;F3;;R4;;;;;3;;;;;;;;17;;;20;21;;AMMONIUMPICRATE
0113;AMMONIUM POLYSULFIDE;AMMONIUM SULFIDE ((NH4)2 (S3));         9080-17-5;2818;#;;;;CO;;;;;;;;R2;;;3;;;;;;;;17;;;;;;AMMONIUMPOLYSULFIDE
0114;AMMONIUM SULFAMATE;SULFAMIC ACID, MONOAMMONIUM SALT;           7773-06-0;3077;;;1;;;;;;;;;;;;2;3;4;;;;8;;;17;;;20;;;AMMONIUMSULFAMATE
0115;AMMONIUM SULFIDE;AMMONIUM SULFIDE ((NH4)2S);          12135-76-1;2683;#;;;;CO;;;;F3;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMSULFIDE
0116;AMMONIUM SULFITE;SULFUROUS ACID, DIAMMONIUM SALT;          10196-04-0;3077;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMSULFITE
0117;AMMONIUM TARTRATE;BUTANEDIOIC ACID, 2,3-DIHYDROXY- (2R,3R)-, DIAMMONIUM SALT;           3164-29-2;3082;;;;;;;;;;;;;;;;3;;;;;;;;17;;;20;;;AMMONIUMTARTRATE
0119;AMMONIUM THIOCYANATE;THIOCYANIC ACID, AMMONIUM SALT;           1762-95-4;3077;;;1;;;;;;;;;;;;2;3;4;;;;;;;17;;;20;;;AMMONIUMTHIOCYANATE
0123;AMYL ACID PHOSPHATE;PHOSPHORIC ACID, PENTYL ESTER;          12789-46-7;2819;#;;;;CO;;;;;;;;;;;3;;;;;;;;17;;;;;;AMYLACIDPHOSPHATE
0124;AMYL ALCOHOL;1-PENTANOL;             71-41-0;1105;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;AMYLALCOHOL1
0125;AMYL AMINE;1-PENTANAMINE;            110-58-7;1106;#;;;;CO;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;AMYLAMINE
0126;AMYL BUTYRATE;BUTANOIC ACID, PENTYL ESTER;            540-18-1;2620;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;AMYLBUTYRATE
0127;AMYL CHLORIDE;PENTANE, 1- CHLORO-;            543-59-9;1107;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;AMYLCHLORIDE
0128;n-PENTENE;PENTENE;          25377-72-4;1108;#;;;;;;;F4;;;;;;R1;;3;;;6;;;;15;17;;;;;;PENTENE3
0129;AMYL FORMATE;FORMIC ACID, PENTYL ESTER;            638-49-3;1109;#;;;;;;;;F3;;;;;;;3;;;;;;;15;17;;;;;;AMYLFORMATE
0130;AMYL MERCAPTAN;1-PENTANETHIOL;            110-66-7;1111;#;;;;;;;;F3;;;;;;;3;4;;;;;;15;17;;;;;;AMYLMERCAPTAN
0131;AMYL NITRATE;NITRIC ACID, PENTYL ESTER;           1002-16-0;1112;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;AMYLNITRATE
0132;AMYL NITRITE;NITROUS ACID, 3-METHYL BUTYL ESTER;            110-46-3;1113;#;;;;;;;;F3;;;;R2;;;3;;;;;;;15;17;;;;;;AMYLNITRITE
0134;AMYL TRICHLOROSILANE;SILANE, TRICHLOROPENTYL-;            107-72-2;1728;#;;;;CO;;;;;F2;;;R2;;;3;;;;;;;15;17;;;;;;AMYLTRICHLOROSILANE
0135;ANILINE;BENZENAMINE;             62-53-3;1547;#;;1;CA;;;;;;F2;;;;;2;3;4;;6;7;8;;15;17;18;19;20;21;;ANILINE
0136;ANILINE HYDROCHLORIDE;BENZENAMINE, HYDROCHLORIDE;            142-04-1;1548;;;;;;;;;;;;;;;;3;;;;;;;15;17;;;;;;ANILINEHYDROCHLORIDE
0137;ANISOLE;BENZENE, METHOXY-;            100-66-3;2222;;;;;;;;;;F2;;;;;;3;;;;;;;15;17;;;;;;ANISOLE
0138;ANISOYL CHLORIDE;BENZOYL CHLORIDE, METHOXY-;           1300-64-7;1729;#;;;;CO;;;;;F2;;R3;;;;3;;;;;;;;17;;;;;;ANISOYLCHLORIDE
0139;ANTHRACENE;ANTHRACENE;            120-12-7;1137;;;;;;;;;;;;;;;;3;;;6;7;8;;15;17;18;;20;;;ANTHRACENE
0140;ANTHRAQUINONE;9,10-ANTHRACENEDIONE;             84-65-1;3143;;;;;;;;;;;;;;;;3;;;;;;;15;17;;;;;;ANTHRAQUINONE
0141;ANTIMONY;ANTIMONY;           7440-36-0;2871;;;1;;;;;;;F2;;;;;2;3;4;;6;;8;;;17;18;;20;;;ANTIMONY
0142;ANTIMONY LACTATE;PROPANOIC ACID, 2-HYDROXY-, ANTIMONY(3+) SALT (3:1);          58164-88-8;1550;;;1;;;;;;;;;;;;2;3;4;;6;;;;;17;18;;20;;;ANTIMONYLACTATE
0143;ANTIMONY PENTACHLORIDE;ANTIMONY CHLORIDE (SbCl5);           7647-18-9;1730;#;;1;;CO;;;;;;;;;R1;2;3;4;;6;;;;15;17;18;;20;;;ANTIMONYPENTACHLORIDE
0144;ANTIMONY PENTAFLUORIDE;ANTIMONY FLUORIDE (SbF5);           7783-70-2;1732;#;;1;;CO;;;;;;;;;R1;2;3;4;;6;;;;15;17;18;19;20;;;ANTIMONYPENTAFLUORIDE
0145;ANTIMONY POTASSIUM TARTRATE;ANTIMONATE(2-), BIS[.mu.- [2,3-DI(HYDROXY-.kappa.O)BUTANEDIOATO(4-)-.kappa.O1:.kappa.O4]]Di-,DIPOTASSIUM, TRIHYDRATE, sterioisomer;          28300-74-5;1551;;;1;;;;;;;;;;;;2;3;4;;6;;;;;17;18;;20;;;ANTIMONYPOTASSIUMTARTRATE
0146;ANTIMONY TRIBROMIDE;STIBINE, TRIBROMO-;           7789-61-9;1549;#;;1;;CO;;;;;;;;;R1;2;3;4;;6;;;;;17;18;;20;;;ANTIMONYTRIBROMIDE
0147;ANTIMONY TRICHLORIDE;STIBINE, TRICHLORO-;          10025-91-9;1733;#;;1;;CO;;;;;;;;;R1;2;3;4;;6;;;;;17;18;;20;;;ANTIMONYTRICHLORIDE
0148;ANTIMONY TRIFLUORIDE;STIBINE, TRIFLUORO-;           7783-56-4;1549;#;;1;;CO;;;;;;;;;;2;3;4;;6;;;;;17;18;;20;;;ANTIMONYTRIFLUORIDE
0149;ANTIMONY TRIOXIDE;ANTIMONY OXIDE (Sb2O3);           1309-64-4;3077;#;;1;CA;;;;;;;;;;;2;3;4;;6;7;8;;;17;18;;20;;;ANTIMONYTRIOXIDE
0150;ARAMITE;SULFUROUS ACID, 2-CHLOROETHYL 2- [4-(1,1-DIMETHYLETHYL)PHENOXY] -1-METHYLETHYL ESTER;            140-57-8;;#;;;CA;;;;;;;;;;;;;;;;7;8;;;;;;;;;ARAMITE
0151;ARGON;ARGON;           7440-37-1;1006;;;;;;;;;;;;;;;2;3;;;;;;;;17;;;;;;ARGON
